symbol,type,date,entry,exit,sl,tp,rr,risk_pct,pnl_pct,win,reason,days,year
ABBV,B,2017-05-15,45.774946746826174,47.67077513238334,44.51106115645473,47.67077513238334,1.5,2.761085878180899,4.141628817271348,True,target,16,2017
ABBV,B,2017-09-06,53.37727088928223,57.78589588265674,51.90772922482406,57.78589588265674,3.0,2.7531225182088566,8.25936755462657,True,target,2,2017
ABBV,A,2020-01-08,68.5505209350586,66.8467025756836,65.47777492654647,73.15963994782679,1.5,4.482454643084471,-2.4854929417518505,False,below_sma,10,2020
ABBV,A,2020-01-15,69.27487083435058,66.8467025756836,66.13407172756277,73.9860694945323,1.5000000000000022,4.53382167149479,-3.5051213079461365,False,below_sma,5,2020
ABBV,B,2021-01-13,90.87627021789551,86.45292598115269,86.45292598115269,104.14630292812397,3.0,4.867435939147697,-4.867435939147697,False,stop,9,2021
ABBV,B,2024-03-19,166.04189483642577,164.3783293522804,164.3783293522804,170.73440711854622,2.820755976751418,1.0018950252189196,-1.0018950252189196,False,stop,1,2024
ABBV,A,2024-09-03,186.10557357788085,187.29127502441406,168.65441452424923,212.28231215832827,1.5,9.377021181114015,0.6371122711362684,True,timeout,20,2024
ABBV,A,2025-02-28,200.22296813964843,198.62681579589844,171.24645553965416,287.1525059396312,3.0,14.472122189190689,-0.7971874348784663,False,timeout,20,2025
ABBV,A,2025-12-19,222.75953201293945,217.67101281835906,217.67101281835906,230.39231080481002,1.5,2.284310416976818,-2.284310416976818,False,stop,9,2025
ABBV,A,2026-02-12,225.225,219.67999267578125,212.5346683263794,244.26049751043087,1.499999999999999,5.63451289760044,-2.4619857139388364,False,below_sma,20,2026
ACN,A,2017-04-28,104.80127220153808,107.24747467041016,102.9056258667007,109.29030727255729,2.368076253740811,1.8088008809587326,2.3341343263161,True,timeout,20,2017
ACN,A,2017-06-12,109.12119255065917,108.08528900146484,103.51583344439584,117.52923121005418,1.5,5.136819874527183,-0.9493147251973215,False,timeout,20,2017
ACN,B,2017-08-01,112.19700393676757,113.15574645996094,110.53784472349132,117.17448157659634,3.0,1.4787910149644725,0.8545170455119256,True,timeout,20,2017
ACN,A,2017-08-03,112.33523323059082,114.11572265625,108.00080718662925,125.33851136247553,3.0,3.85847424651203,1.5849786166414668,True,timeout,20,2017
ACN,A,2017-08-31,112.9745654296875,117.87710571289062,109.51379440832298,123.35687849378107,3.0,3.063318728602163,4.339507980895346,True,timeout,20,2017
ACN,B,2017-09-07,115.98122817993163,118.88072967529297,111.98315408038928,127.97545047855868,3.0,3.447173445464636,2.4999748156340345,True,timeout,20,2017
ACN,A,2018-06-15,143.87056869506836,149.02182006835938,134.81534246037285,157.45340804711162,1.5,6.29400878638906,3.5804761321330583,True,timeout,20,2018
ACN,A,2018-08-17,145.11148269653322,149.5402474068086,142.15897288968296,149.5402474068086,1.4999999999999951,2.034649327527542,3.0519739912913035,True,target,8,2018
ACN,A,2019-05-14,155.4589585876465,165.83905757283608,151.88859772638548,165.83905757283608,2.907296877975372,2.296658162191449,6.677067104715857,True,target,17,2019
ACN,A,2019-05-15,157.06177185058593,165.83905757283608,151.96901927083596,165.83905757283608,1.7234855973861347,3.242515680133002,5.588429074007935,True,target,16,2019
ACN,A,2019-05-16,159.54225540161133,167.3043670654297,152.07276094243852,170.74649709037055,1.500000000000002,4.681828297067792,4.865238769678296,True,timeout,20,2019
ACN,A,2019-08-16,173.0187844848633,183.3062096624593,166.16050103313262,183.3062096624593,1.500000000000002,3.9638952915720402,5.945842937358068,True,target,14,2019
ACN,A,2020-01-21,188.81503692626953,196.89578247070312,180.97213632438883,200.5793878290906,1.5000000000000018,4.153747884467103,4.279715045994484,True,timeout,20,2020
ACN,B,2021-07-01,275.90802703857423,290.9464436559124,270.8952214994615,290.9464436559124,3.0,1.8168393261033637,5.450517978310092,True,target,5,2021
ACN,B,2021-12-02,337.91254760742186,350.31444834336634,329.98507581237186,350.31444834336634,1.5644206698645549,2.3460128518991636,3.670150997278944,True,target,6,2021
ACN,A,2024-11-13,358.31996795654294,344.65478515625,335.45792205368,392.61303681083734,1.5000000000000013,6.380343812052256,-3.81368163159421,False,below_sma,13,2024
