symbol,date,entry,sl,tp,tp_rr,risk_pct,exit_fixed,reason_fixed,days_fixed,pnl_fixed,win_fixed,exit_tight,reason_tight,days_tight,pnl_tight,win_tight,exit_wide,reason_wide,days_wide,pnl_wide,win_wide
UBER,2025-06-24,91.65,78.99,110.64,1.5,13.81,87.11,below_sma,24,-4.95,False,94.12,trail,13,2.7,True,91.73,trail,15,0.08,True
UBER,2025-09-15,98.85,88.53,129.81,3.0,10.44,92.52,below_sma,23,-6.4,False,95.55,trail,2,-3.34,False,92.79,trail,2,-6.14,False
UBER,2025-11-03,99.72,91.63,111.85,1.5,8.11,91.63,stop,1,-8.11,False,94.3,trail,1,-5.44,False,91.63,stop,1,-8.11,False
URI,2023-12-01,491.79,410.08,736.91,3.0,16.61,539.31,timeout,30,9.66,True,469.27,trail,2,-4.58,False,537.22,trail,21,9.24,True
URI,2024-09-11,697.21,662.63,749.08,1.5,4.96,749.08,target,4,7.44,True,749.08,target,4,7.44,True,749.08,target,4,7.44,True
URI,2024-11-25,854.8,782.33,963.5,1.5,8.48,782.33,stop,10,-8.48,False,842.95,trail,5,-1.39,False,827.2,trail,9,-3.23,False
UNH,2023-09-20,467.65,455.12,488.3,1.65,2.68,488.3,target,6,4.42,True,488.3,target,6,4.42,True,488.3,target,6,4.42,True
UNH,2023-10-02,488.98,458.65,579.95,3.0,6.2,515.59,timeout,30,5.44,True,507.09,trail,13,3.7,True,499.39,trail,15,2.13,True
VZ,2024-04-19,36.07,34.81,37.97,1.5,3.5,34.81,stop,1,-3.5,False,35.86,trail,1,-0.6,False,35.03,trail,1,-2.89,False
VZ,2024-09-03,38.87,36.06,47.3,3.0,7.23,40.22,timeout,30,3.48,True,38.08,trail,1,-2.04,False,37.35,trail,1,-3.92,False
VRT,2023-10-06,39.63,33.35,49.06,1.5,15.86,34.74,below_sma,14,-12.35,False,40.12,trail,5,1.23,True,38.21,trail,9,-3.58,False
VRT,2024-01-18,50.74,43.2,73.39,3.0,14.87,70.37,timeout,30,38.67,True,52.99,trail,3,4.43,True,57.67,trail,18,13.66,True
VMC,2023-06-01,194.79,171.44,264.85,3.0,11.99,219.2,timeout,30,12.53,True,197.42,trail,4,1.35,True,213.23,trail,23,9.46,True
VMC,2023-06-02,198.64,172.06,278.4,3.0,13.38,219.39,timeout,30,10.44,True,197.42,trail,3,-0.62,False,213.23,trail,22,7.34,True
VMC,2026-02-03,310.42,284.77,387.39,3.0,8.27,295.42,below_sma,20,-4.83,False,311.74,trail,3,0.43,True,311.46,trail,9,0.33,True
VMC,2026-02-17,301.65,283.75,330.46,1.61,5.93,295.42,below_sma,11,-2.06,False,304.7,trail,8,1.01,True,295.76,trail,10,-1.95,False
DIS,2024-01-29,95.56,87.78,118.89,3.0,8.14,110.23,timeout,30,15.36,True,105.38,trail,8,10.28,True,104.88,trail,18,9.75,True
DIS,2024-05-06,114.16,108.82,122.18,1.5,4.68,108.82,stop,1,-4.68,False,108.91,stop,1,-4.6,False,108.82,stop,1,-4.68,False
DIS,2025-02-03,112.75,107.86,120.09,1.5,4.34,109.33,below_sma,2,-3.04,False,112.77,trail,2,0.01,True,109.75,trail,2,-2.66,False
DIS,2025-07-17,121.39,111.95,135.54,1.5,7.77,115.81,below_sma,11,-4.6,False,120.13,trail,6,-1.04,False,118.58,trail,8,-2.32,False
WMB,2023-11-02,32.46,29.99,36.17,1.5,7.61,31.61,below_sma,27,-2.64,False,31.94,trail,3,-1.6,False,31.51,trail,7,-2.93,False
WMB,2024-09-12,42.45,39.97,46.16,1.5,5.83,46.16,target,16,8.75,True,42.59,trail,6,0.33,True,42.42,trail,10,-0.07,False
WMB,2025-01-13,53.77,51.38,57.35,1.5,4.44,57.35,target,5,6.66,True,54.16,trail,1,0.72,True,57.35,target,5,6.66,True
WMB,2025-05-23,57.12,54.75,60.67,1.5,4.14,60.67,target,22,6.22,True,57.94,trail,10,1.43,True,56.89,trail,11,-0.39,False
WDAY,2023-02-28,185.47,167.79,211.98,1.5,9.53,191.74,timeout,30,3.38,True,185.27,trail,6,-0.11,False,180.33,trail,8,-2.77,False
WDAY,2023-03-29,198.25,176.2,264.41,3.0,11.12,182.88,below_sma,18,-7.75,False,198.92,trail,5,0.34,True,193.74,trail,6,-2.27,False
XYL,2024-01-29,110.42,103.78,120.4,1.5,6.02,120.4,target,7,9.03,True,110.2,trail,5,-0.2,False,120.4,target,7,9.03,True
XYL,2024-03-15,124.34,114.3,139.39,1.5,8.07,129.53,timeout,30,4.18,True,125.45,trail,6,0.9,True,124.1,trail,13,-0.19,False
XYL,2024-04-16,125.05,120.23,132.28,1.5,3.86,132.28,target,12,5.78,True,122.01,trail,1,-2.43,False,132.28,target,12,5.78,True
