sym,date,year,gap%,reason,pnl_BT,win_BT,pnl_MarketOpen,win_MarketOpen,pnl_Limit,win_Limit,pnl_Intraday,win_Intraday
APH,2025-09-04,2025,0.22,timeout,10.87,True,9.51,True,9.76,True,10.57,True
APH,2025-09-09,2025,1.04,timeout,7.85,True,5.68,True,6.78,True,9.54,True
VLO,2025-09-09,2025,-0.37,timeout,1.85,True,1.2,True,0.83,True,1.84,True
MU,2025-09-09,2025,3.53,target,23.77,True,18.35,True,,,24.13,True
GS,2025-09-09,2025,-0.27,timeout,4.41,True,3.65,True,3.37,True,5.0,True
USB,2025-09-09,2025,0.28,timeout,-1.77,False,-3.03,False,-2.76,False,-2.05,False
CCL,2025-09-11,2025,-0.22,stop,-6.45,False,-7.19,False,-7.39,False,-6.0,False
ORLY,2025-09-11,2025,-0.36,stop,-2.82,False,-3.44,False,-3.79,False,-2.82,False
ALLE,2025-09-11,2025,-0.5,timeout,0.02,True,-0.48,False,-0.98,False,0.56,True
USB,2025-09-17,2025,0.12,stop,-3.21,False,-4.29,False,-4.18,False,-3.19,False
TEL,2025-09-18,2025,0.23,timeout,4.21,True,2.93,True,3.17,True,3.76,True
LDOS,2025-09-18,2025,0.33,timeout,-0.47,False,-1.78,False,-1.46,False,-0.44,False
GL,2025-09-19,2025,-0.74,stop,-3.12,False,-3.38,False,-4.09,False,-3.6,False
PSX,2025-09-25,2025,0.5,stop,-6.8,False,-8.19,False,-7.73,False,-6.86,False
XYL,2025-09-30,2025,-0.75,timeout,3.06,True,2.8,True,2.03,True,3.25,True
CVS,2025-10-01,2025,-0.68,target,6.33,True,5.98,True,5.26,True,6.35,True
HPE,2025-10-14,2025,1.0,stop,-3.5,False,-5.41,False,-4.46,False,-3.26,False
FSLR,2025-10-15,2025,-0.94,timeout,10.57,True,10.5,True,9.46,True,12.38,True
KLAC,2025-10-15,2025,1.21,target,13.97,True,11.48,True,12.83,True,14.41,True
APH,2025-10-23,2025,1.39,timeout,-2.69,False,-4.98,False,-3.66,False,-1.58,False
UHS,2025-10-27,2025,2.84,target,9.76,True,5.66,True,8.66,True,9.33,True
GLW,2025-10-29,2025,-1.64,stop,-8.88,False,-8.29,False,-9.8,False,-8.3,False
A,2025-11-04,2025,-2.01,target,4.04,True,5.11,True,3.0,True,3.92,True
KEYS,2025-11-05,2025,0.33,stop,-4.58,False,-5.85,False,-5.53,False,-3.94,False
BIIB,2025-11-13,2025,-0.01,timeout,6.76,True,5.69,True,5.69,True,6.71,True
JNJ,2025-11-17,2025,-0.29,target,8.72,True,7.94,True,7.63,True,8.34,True
VLO,2025-11-18,2025,-3.28,stop,-5.57,False,-3.35,False,-6.51,False,-4.53,False
MDT,2025-11-21,2025,0.33,target,3.41,True,2.04,True,2.37,True,3.16,True
MDT,2025-11-24,2025,0.58,stop,-4.19,False,-5.7,False,,,-4.38,False
AAPL,2025-11-24,2025,-0.24,timeout,-0.29,False,-1.06,False,-1.29,False,-0.38,False
RL,2025-11-25,2025,0.1,timeout,0.18,True,-0.92,False,-0.82,False,1.05,True
GEHC,2025-12-03,2025,-0.79,timeout,0.08,True,-0.13,False,-0.92,False,1.12,True
CB,2025-12-11,2025,0.06,timeout,1.22,True,0.15,True,0.21,True,1.44,True
TSLA,2025-12-16,2025,-0.34,stop,-10.77,False,-11.36,False,-11.66,False,-10.04,False
CHRW,2025-12-17,2025,0.06,target,4.12,True,3.02,True,3.08,True,3.69,True
CHRW,2025-12-18,2025,0.01,timeout,7.17,True,6.09,True,6.1,True,7.68,True
RTX,2025-12-19,2025,0.47,target,4.63,True,3.11,True,3.59,True,4.46,True
TXT,2025-12-19,2025,0.3,timeout,8.76,True,7.34,True,,,8.65,True
BIIB,2025-12-19,2025,-0.01,target,6.27,True,5.21,True,5.2,True,6.26,True
PH,2025-12-19,2025,0.26,target,4.88,True,3.57,True,,,4.33,True
BAC,2025-12-19,2025,0.18,target,3.98,True,2.76,True,,,3.65,True
L,2025-12-19,2025,0.02,stop,-2.37,False,-3.37,False,-3.35,False,-2.98,False
SLB,2026-01-05,2026,1.1,timeout,14.75,True,12.38,True,13.61,True,14.65,True
RF,2026-01-05,2026,-0.71,timeout,6.58,True,6.27,True,5.52,True,6.88,True
DD,2026-01-06,2026,0.02,timeout,11.22,True,10.08,True,10.11,True,12.07,True
GEHC,2026-01-08,2026,-0.6,stop,-4.49,False,-4.88,False,-5.44,False,-3.73,False
TJX,2026-01-08,2026,-0.21,stop,-3.68,False,-4.45,False,-4.64,False,-3.47,False
VLO,2026-01-08,2026,0.09,timeout,7.66,True,6.49,True,6.59,True,8.63,True
HSY,2026-01-14,2026,-0.56,target,13.94,True,13.44,True,12.8,True,13.78,True
TMO,2026-01-14,2026,-0.3,stop,-4.74,False,-5.41,False,-5.7,False,-4.69,False
ADM,2026-01-15,2026,-0.86,timeout,5.47,True,5.32,True,4.42,True,6.13,True
TSN,2026-01-20,2026,0.38,target,6.26,True,4.8,True,5.2,True,6.2,True
ADM,2026-01-21,2026,0.21,stop,-6.02,False,-7.15,False,-6.96,False,-5.83,False
TECH,2026-01-21,2026,0.59,stop,-7.88,False,-9.34,False,-8.8,False,-7.91,False
KMI,2026-01-22,2026,0.98,timeout,12.43,True,10.23,True,11.31,True,12.37,True
TSN,2026-01-22,2026,-0.02,target,3.83,True,2.81,True,2.79,True,3.84,True
STLD,2026-01-23,2026,1.7,stop,-4.59,False,-7.12,False,-5.54,False,-4.85,False
AMGN,2026-01-26,2026,-0.32,target,3.65,True,2.94,True,2.61,True,3.35,True
TGT,2026-02-02,2026,0.33,target,12.22,True,10.73,True,,,13.48,True
JBHT,2026-02-03,2026,-0.06,timeout,7.78,True,6.76,True,6.7,True,8.81,True
DOV,2026-02-03,2026,0.57,timeout,6.11,True,4.46,True,,,6.08,True
SWK,2026-02-06,2026,-0.66,below_sma,-9.85,False,-10.16,False,-10.75,False,-9.54,False
APA,2026-02-27,2026,7.08,target,35.32,True,25.11,True,33.97,True,35.71,True
DG,2026-02-27,2026,-1.03,stop,-2.32,False,-2.29,False,-3.3,False,-2.45,False
PCAR,2026-02-27,2026,-1.15,stop,-2.16,False,-2.01,False,-3.14,False,-1.97,False
LMT,2026-02-27,2026,4.72,target,6.08,True,0.29,True,,,5.82,True
